identificador,prediccion
71e12df0-8e17-4557-aab1-11e831d9ccc3,248613.59598391358
fbbfc617-0039-4c65-af81-8321436d3590,184464.70645790745
44bb36e5-4a45-4b93-93e2-bb24fa53088a,162984.34749442278
f671c85f-2ef8-4023-be43-4c9799ed11d1,234740.6740249954
284e9c1a-dce8-4954-a6b8-0edd0da08424,101665.83237880193
45e2fe8a-0d2f-4fed-81d9-e8e55ebf3c38,1811266.2959342785
7067f752-adf5-4853-a301-d0770bd0f90b,240492.8637594026
f58bbb37-d38f-48b5-baf9-15cebe03b78f,347116.2795523465
970e87d1-b5bb-4a5a-94e4-b4c0c729fffb,380796.67260712694
db2bc997-f7c9-42a0-9a75-a34a22df378d,1143420.4349834872
80a4e692-6e59-448e-a044-4566a15c0ef2,201874.7090185255
baafedb0-0605-45cd-a42a-a7902018e658,289963.0141032717
dd402c74-210e-4db4-8836-9a1cbad0b8f8,439181.01848175516
340620cc-9e15-4ab7-a586-0611dce1d980,355424.99700133264
c57b0d1e-bd0f-4c7c-a3ed-7e6eff375130,188087.2743971284
e003c964-37c4-48a6-b607-8c87745b22d9,174166.87123338346
ee09e988-a2e6-4bf6-b883-6249cfa483f4,119826.12625581479
a9a9c4f2-d2a0-4d4f-9200-591af92d5cde,1158508.1476563371
ecbe01af-0255-4938-b7f8-6821f4562a90,588696.6206660861
ffa268ce-b883-4bc7-b0a2-f595d103a45d,193517.8800731009
af653cc9-e7a4-4889-9d66-ff13caed6fd0,417487.8957537801
b8d9b7bb-15d9-4443-85e7-235d300cba96,272545.953996785
b04b3cfa-65d8-405e-bfb5-4aa28ec81324,84322.56271948633
677b34df-c67b-465c-ba42-359bd49a651e,186699.90860043283
99004ff7-69e6-4429-85c5-d837927c0f89,201814.45614534125
1e5f1c60-fd9e-4d00-970b-1787d81f77d5,155112.50440804154
34078d90-6152-4852-957b-95c62862265c,283117.63234620244
9a85bc3b-2acb-495a-a6dd-bf03026540d8,208479.83972595257
2e97877d-fab0-4c67-80b2-e13a7b921f78,690474.0067504466
6b7d2e64-b255-40d4-889c-75251b5332aa,87155.79743742055
39a97c88-07b2-4cb2-9088-00bf3956a1c4,134545.12975010328
b9d62bc5-c817-4fcb-862e-8a773c72b8cc,1189501.584615933
fb25c38f-345e-4173-897c-3b570e71a3de,228999.61041452936
dc475842-2720-4c5e-9e26-2ce297dfb51c,246481.17741594906
11f0a4a2-5f3a-4574-8cac-50b297423e43,648292.333062104
972798cb-8665-4140-8d37-02ae07172aed,282840.0116249896
1113a856-b03c-427d-8d1d-0ad3dcadb8dd,198429.28135242153
