identificador,prediccion
71e12df0-8e17-4557-aab1-11e831d9ccc3,176215.8842398477
fbbfc617-0039-4c65-af81-8321436d3590,265808.6932972506
44bb36e5-4a45-4b93-93e2-bb24fa53088a,156438.26201299866
f671c85f-2ef8-4023-be43-4c9799ed11d1,274528.10690762993
284e9c1a-dce8-4954-a6b8-0edd0da08424,126363.71941919248
45e2fe8a-0d2f-4fed-81d9-e8e55ebf3c38,551111.4989541115
7067f752-adf5-4853-a301-d0770bd0f90b,281263.7320786556
f58bbb37-d38f-48b5-baf9-15cebe03b78f,145566.4192628316
970e87d1-b5bb-4a5a-94e4-b4c0c729fffb,399498.18785436207
db2bc997-f7c9-42a0-9a75-a34a22df378d,234349.1731412828
80a4e692-6e59-448e-a044-4566a15c0ef2,184951.66332509663
baafedb0-0605-45cd-a42a-a7902018e658,348015.52065113554
dd402c74-210e-4db4-8836-9a1cbad0b8f8,117735.82836954453
340620cc-9e15-4ab7-a586-0611dce1d980,278966.9861957946
c57b0d1e-bd0f-4c7c-a3ed-7e6eff375130,199398.87864949313
e003c964-37c4-48a6-b607-8c87745b22d9,145988.84405819533
ee09e988-a2e6-4bf6-b883-6249cfa483f4,101324.37320540751
a9a9c4f2-d2a0-4d4f-9200-591af92d5cde,922106.4327594235
ecbe01af-0255-4938-b7f8-6821f4562a90,156564.89148768468
ffa268ce-b883-4bc7-b0a2-f595d103a45d,186106.18893736985
af653cc9-e7a4-4889-9d66-ff13caed6fd0,354943.48027725803
b8d9b7bb-15d9-4443-85e7-235d300cba96,187976.62564965035
b04b3cfa-65d8-405e-bfb5-4aa28ec81324,96306.60206509437
677b34df-c67b-465c-ba42-359bd49a651e,142887.6841527739
99004ff7-69e6-4429-85c5-d837927c0f89,170847.47184502034
1e5f1c60-fd9e-4d00-970b-1787d81f77d5,158307.6563127302
34078d90-6152-4852-957b-95c62862265c,90778.16336776986
9a85bc3b-2acb-495a-a6dd-bf03026540d8,101266.05910311753
2e97877d-fab0-4c67-80b2-e13a7b921f78,391041.38561945246
6b7d2e64-b255-40d4-889c-75251b5332aa,166531.93663362315
39a97c88-07b2-4cb2-9088-00bf3956a1c4,101289.3981718185
b9d62bc5-c817-4fcb-862e-8a773c72b8cc,115315.40549804692
fb25c38f-345e-4173-897c-3b570e71a3de,132137.89354689058
dc475842-2720-4c5e-9e26-2ce297dfb51c,112142.02824757544
11f0a4a2-5f3a-4574-8cac-50b297423e43,853662.0813635637
972798cb-8665-4140-8d37-02ae07172aed,176109.93113332198
1113a856-b03c-427d-8d1d-0ad3dcadb8dd,227389.86457352253
075a72ea-7379-4a69-b706-0c36ba8004eb,158208.9235474391
8b22935b-6e98-4554-b31c-7e016c02caef,251852.91758369983
38352842-31b0-4d5e-87fa-f1bbe4d9b6a4,367871.4308154811
0062bd5c-5a70-4165-910a-9250da5e5cdc,126018.26448981508
ec21b85c-d144-45b0-baa5-7abdf71a3f8d,190495.08668728595
77c8ae1c-847c-413e-861d-0fa56ecfe0c5,107032.38622817096
8e5d5b00-ae62-4d80-90cc-4e8ab91c44c2,285648.8132567326
25eb376e-491e-4a39-8644-aec8772a1f6c,134374.936399924
508b6fae-ce64-4627-ac02-cc4eb3fc6868,159348.83435353255
a10aacd4-e534-40d0-b278-66712079fca5,108526.40708316695
ca706b89-18ae-4a52-a1e6-4f8b17b5b291,135240.95778416548
1499293e-f5aa-44d7-ac75-73c3cc40d85a,359370.00905177055
ea905c3f-dcb2-4b46-bd77-84dc00e93718,656061.4135039403
cc33c520-4259-4158-99ff-d87d82c4d3db,365589.51339252293
d5c311ef-94e4-4d56-829b-f9c60077d193,187272.43379572668
28303ccf-d5a8-4ba6-908c-b5a625868b9e,265145.8205050958
c75e9b5d-91e7-4051-ad64-6ef30bbfa244,177755.46389276127
1ec9b7d7-beef-4e28-a50d-d631ba7e18e0,584169.3513513597
332052ab-c54d-4485-95d2-0fba89ba4eaf,193273.49788760516
6a24395c-e9fb-479e-be9d-c972a4575d0c,747663.2401676375
a5231fde-d47f-4549-8c9e-3654afd47023,152957.79075010697
e4c3d8f8-aa1b-499f-8bde-4c9841faf75f,266550.2542310387
51cc5f5f-e383-4773-a30e-f22ce0c5acc7,135484.86134103104
08d244a1-cd38-40c6-af9d-647268d09b3b,169838.1553716007
fb41b6c2-adf7-45b4-8005-a188f200900c,127861.0625796003
aeee7455-630b-494b-b745-1d25e946c8ed,283290.48258261196
8381adcc-24d7-4bb0-ab6b-6187aee9a108,175876.92954584028
2a7aafc4-9539-495f-beea-2b6c5eac48dc,280277.40020026424
d2866d6a-9e30-4430-98af-099e9f2a0d94,224292.20730990454
703cf9dc-b054-4998-851a-6941c7223239,136463.32726416792
663f614f-c1d0-48b0-b71a-ef2d87e6417a,135737.55204098104
cbb24b6a-7d08-46b6-b576-d4f6ef2ccab4,274950.2845508405
4b669eac-3a0b-47f5-86a4-97995ddc4594,201273.92293527492
6bce9ff4-068c-44aa-ad27-cd39160185ea,292565.76340664394
265fec64-57a2-489b-99d9-46a13f1cb6b9,536568.085051777
60454d52-bdea-498d-8949-fb3b24ac5d42,253633.87863641197
2b78b04e-8f51-428f-81ce-89169fe7da94,128041.03927471077
7ca82a11-87a0-4cf0-90ad-5793e4bc4af5,200677.09145508686
b23db3fd-f24b-4d45-93fd-6038f12045db,273232.68588107824
f72eba58-ce07-4e55-ae26-ff42deb5c126,270026.6188149742
387ab9b4-7864-4242-9c48-d9d3ff465368,259111.7598946721
217eae9b-1c35-44af-8e20-3c15337e7f38,390014.2132999944
a7b05364-25cd-4d63-a1b5-1eb9a45d0d2f,277729.6159681639
ffc896be-8df0-437f-a4bb-8530a506c3a8,168085.47269400567
8482763d-469e-4979-af63-5bdb40047a9e,410228.58198607597
f3df9596-cc74-468d-9fb6-07a813e17eb7,179672.59765143113
b5f53951-ee41-4860-ae71-998e3a6995ac,327036.7099265226
e1b24de4-e44f-4ccf-954e-24f1b1f88655,224150.61018630903
6be03bbe-b47a-4784-9867-d1482e19e4b1,321812.18835304753
c664ae16-0c89-465c-84da-4fba24d56ec6,171391.65831065577
0cf6b499-2f64-4fc7-8d4b-c196b24fd2dd,125950.26392384063
d5d3105c-4236-4f28-a6af-1e71ef067b9a,643581.8950443644
8b676264-5dec-4e9d-babb-24692e84a621,87972.16273349375
5a30a477-5778-48c4-8103-91054397a476,87481.33267515794
63fdcec7-4ad9-4321-8fe5-2e1e0740fbf1,142284.6103105605
32cdc3f7-bb86-42af-a90f-535ec3e6792a,459268.70648377965
3536389b-9fdd-4158-abb1-02d5deeace04,305633.95537204726
c0d1e4f4-f96a-47a1-aa9a-8bfd11bb3f5f,205773.4970225941
d0bddc08-b00a-441f-aa4e-9e653572c027,249856.22050678096
1adef651-402b-4cf6-9cb1-7ff46be43c45,130632.71146198316
22b1752e-185a-4d77-b2ed-5e1fbbc8cc0a,295508.1383213702
3c2578ea-e725-4961-b32d-7a79819496b0,181215.75982631135
d70be497-ef62-42aa-b002-bbd59ef18c94,481418.7160630974
7b94dc8b-5c3a-4314-a301-d09511d061c8,330064.30373449164
b566044b-1f80-4413-8235-b03ace793189,191031.61625091097
147ee903-332f-4ad8-a636-55243a856c15,189120.7949072347
2fa515c8-5b72-4d5f-9a0e-51e151ed7f7d,211928.722151148
8d57bd98-1a9f-4284-873d-c5bd7b88a3b2,195799.3601137826
6586e68a-05a0-4eb3-b591-7ac73805cc9b,211608.79252654352
8d9ec007-2b1e-44dd-ac8f-a0fd6d8b7ace,257988.2234676503
ba4f21c5-8485-4e3f-bc15-7a6c2c4803ac,214191.78413069167
a3a94f07-e4ff-4e51-a361-81b1dc132ba2,270186.00116587954
45730d2b-1b3f-4323-a743-ba2eb3007da9,146781.2836076611
39d8aac9-7f42-4521-a524-2d5f6cfd91ef,264148.4954622938
0831c14c-7b61-4001-9a79-a1dc3558bdaf,139100.49568055468
4e7694c1-14e7-4780-bb14-2c351c0a8cb1,103389.40899059006
ae21931e-4295-455f-81e4-c0ad03133232,124029.05986564879
059e29e1-8438-4237-8870-ba67f1a09b77,274991.37233350106
dc305d1b-6b1d-4715-a6ed-dec19f908d41,212694.6019711575
2bbde7d6-dd72-4ade-bdfc-1661c3a3068e,109888.57001874654
f30b37e9-276a-4f13-88af-be1c0f29c4d0,201743.75193909774
4a2837a1-cfd4-4dbc-b4ae-93e342052260,139904.45769023208
aee8953c-781d-4834-8fd8-36d46a073494,193435.02771408577
e1be7f1c-a8a7-4570-847d-230480622638,170599.4405120684
519f5bb5-350d-4085-9b2b-3c4ae6c3e142,330049.17642992415
0164d3a2-c1d8-47ac-9c8b-55fa01974264,435740.89976614126
fade0d9e-a09b-4e9c-bac6-3d63a719f4b7,300870.75680047896
51c06fa1-cf4d-4e98-87f4-a3d46ecfd3d1,269233.4529060736
0b0f9801-4c0b-436b-b68d-8f53c3c154ff,265955.9443966767
d18f96ba-235b-42b5-8a73-7968efaa8356,192647.70406739035
f6f6ad2c-65fd-4943-a380-7d3a4c489b55,195877.46158744337
f197a69c-77b1-40aa-85c5-f6ed6e117c55,352865.490658757
995b3331-4363-4438-a60a-9979d0857b70,258789.14934733845
415fa0d2-fb65-42a3-9ecc-1daddd30856b,152413.74030907548
adc97017-8314-40c0-a87e-0a1dd08facab,303229.8706734586
8b867d81-5dab-49a6-ac36-683e138bce48,219801.9012637903
b2d6367e-edcb-46e4-9942-73bb3e94aebf,115311.56338203089
84de6c61-3575-4261-82e6-941eb19fadbc,87863.9628720089
9fb82d9a-3105-4ac7-8cf0-519f7a2fedbc,201364.9915877874
a865a664-10b8-43af-b345-7665d94d2e32,341170.57880444516
5c746eb5-5a70-457f-9d72-56f191170157,244912.29298235092
6ed64bdb-ba0d-455f-9182-3626f8f30577,545911.5496723367
7470a0a8-e431-41f0-b9e0-92a38598836a,189609.46695034325
b53a07dd-4e55-4629-9da4-c7c1e0f3ce79,200435.84077087426
7b5305e9-02d8-45da-a92e-9311fe07cf26,121459.81338844367
a003802f-2e00-45ee-a9e5-6644aef49ee6,162527.05508891997
e5f761f5-a239-434a-a14e-a6791b561952,199416.78364159403
ee32b055-266a-4e0f-b418-809c06ac1553,195082.7044616961
e3c608ff-9537-4bdf-81a3-f6ec63c87129,210017.417136033
2c12423f-0712-4125-ba58-ad522ab61f09,171257.7861072269
41f38c1f-f92a-4ad5-8157-beca5b352a1f,176453.73523065043
c4d6bb8b-ed32-469a-b7c2-82515607ba6b,159052.84489200675
20d80919-1edf-4fd1-933d-5a88a3d17379,439678.9449688818
724e65dd-f123-49d6-9da6-23685deb264b,226646.13360899762
9a71fb17-a0a9-4ad6-8ee2-eef04f734d1b,388740.2580792548
adac3f69-4119-48ef-b1f1-c281e25ce67f,221898.78565545386
fbfd6629-f153-4394-a16c-edf91a25c3b8,219294.90454497476
199bf066-76d7-482d-858e-61a69b3d1bbc,999296.7210168154
41331770-7993-48b8-9934-a6c5714d99a0,504026.46660504077
c67c8dbb-d4d1-4634-ac00-de7b0a4816ca,153854.99418309837
797ba9a7-62c8-40fb-9454-a23fa93e64f6,241433.05926235404
41e8e40a-4547-40d5-9c58-cd391012d86d,456399.9807914134
46abedde-466a-45f7-a735-19c878fafabc,202946.81045919086
98711fc4-f25f-4152-b6d1-b589a75b9a5e,385641.7690592092
bb447d44-0f0e-4dac-834f-aea177b5720f,353826.60802830267
a462a131-6204-4aae-9d3a-284095e50c5f,93016.1812097497
3410fc86-0d29-4410-9f78-41ea3c340510,139376.3266997472
dd28e14d-1e8c-45ab-8d8b-f437dd6479f2,312559.12518895755
2bde21f5-fa66-4ef6-adc8-dd4734abdced,237416.1979134837
ce33c16b-c040-4eb9-9281-8024b01ade43,116016.22709797326
33a7f5df-5193-473e-a943-937df0560a88,119510.57599214169
428c99e2-2e7a-41b5-bd8b-97599affec88,263189.87572203117
4c535df6-f7b4-4e09-86e6-8a33eecd8d1d,238631.71092098107
fba9c842-5d02-4bd9-a2c8-61770659b089,286641.33717119426
75644b6b-9ff5-44c5-84f9-4b180b54a361,120029.57030041552
213242a2-3f31-49ee-b318-9a7faffa66aa,397049.63324563275
a9afcf0b-6a86-4bae-befe-9d0011c4556d,343076.70337538945
0be5ac6b-e191-4366-bb28-6f89fe55cb4a,275214.166650199
5e75a8b8-29aa-46f5-8d73-ab997bfabd0c,118817.1489307248
b3c7856a-94ac-46d2-b07c-8ccddcebe827,133413.40149535105
319b6891-6723-4aab-ba49-24a4448e0808,127701.66900570925
5e91fb10-692c-46d7-8418-4deb1af6a327,265340.0695669431
2ed1f917-f88f-4d6e-94ab-e4b95ad0f528,255825.51053564603
90bac91a-1c12-484c-8411-433dc13304da,135759.2981992979
2054afd6-6dbc-4eb5-bc32-e25ae1287261,469747.70994229865
bf14f168-47a8-47aa-ac3d-e2a9cfa121e0,106614.34040840079
a3292fb9-181d-434c-aeb7-23fe2ad26d4a,224502.09736164767
22209c9e-3b40-4e3a-a222-96f5bff0e78e,210166.40909703868
a8d0c8e4-5294-4d61-81c1-f4936e8d8306,229437.5554276719
